rule;support;confidence;lift;count
{00761025000108,10752963000103} => {16403724000116};0.01243855;0.5738832;10.307633;334
{10596399000179,10942831000136} => {20483193000196};0.01139580;0.8337875;12.301572;306
{10942831000136,20483193000196} => {00761025000108};0.01344406;0.5179340;5.521065;361
{00761025000108,10942831000136} => {20483193000196};0.01344406;0.7813853;11.528438;361
{08658622000113,19225144000174} => {00761025000108};0.01158201;0.7100457;7.568935;311
{00761025000108,08658622000113} => {19225144000174};0.01158201;0.5235690;11.834070;311
{06177718000134,19225144000174} => {16403724000116};0.01206614;0.7807229;14.022723;324
{16403724000116,19225144000174} => {06177718000134};0.01206614;0.7136564;13.252491;324
{06177718000134,19225144000174} => {00761025000108};0.01020408;0.6602410;7.038027;274
{16403724000116,19225144000174} => {00761025000108};0.01169373;0.6916300;7.372627;314
{00761025000108,19225144000174} => {16403724000116};0.01169373;0.5000000;8.980602;314
{06177718000134,15724019000158} => {16403724000116};0.02074333;0.7506739;13.483006;557
{15724019000158,16403724000116} => {06177718000134};0.02074333;0.8155198;15.144078;557
{06177718000134,16403724000116} => {15724019000158};0.02074333;0.5493097;13.228756;557
{06177718000134,15724019000158} => {00761025000108};0.01471026;0.5323450;5.674684;395
{00761025000108,15724019000158} => {06177718000134};0.01471026;0.6661046;12.369460;395
{00761025000108,06177718000134} => {15724019000158};0.01471026;0.5524476;13.304324;395
{15724019000158,16403724000116} => {00761025000108};0.01456130;0.5724744;6.102454;391
{00761025000108,15724019000158} => {16403724000116};0.01456130;0.6593592;11.842885;391
{00761025000108,16403724000116} => {15724019000158};0.01456130;0.5124509;12.341103;391
{06177718000134,13961486000176} => {16403724000116};0.01329510;0.7777778;13.969825;357
{13961486000176,16403724000116} => {06177718000134};0.01329510;0.7846154;14.570188;357
{06177718000134,10596399000179} => {16403724000116};0.01389096;0.7754678;13.928335;373
{10596399000179,16403724000116} => {06177718000134};0.01389096;0.6806569;12.639696;373
{06177718000134,16403724000116} => {00761025000108};0.01966334;0.5207101;5.550658;528
{00761025000108,06177718000134} => {16403724000116};0.01966334;0.7384615;13.263658;528
{00761025000108,16403724000116} => {06177718000134};0.01966334;0.6920052;12.850432;528
{06177718000134,10596399000179} => {00761025000108};0.01094891;0.6112266;6.515545;294
{10596399000179,20483193000196} => {00761025000108};0.01392820;0.5006693;5.337028;374
